Refid,User,Level,year,country,continent,st_design,setting,setting1,species,sources,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments,,NR_interv,Comments
1693,"Ellen_Vriezen,Mikalya_Plishka",3,2015,South Africa,Africa,Single group observational,Feed Manufacturing Plant,Feed manufacturing plant,Not Reported,,,,,,,,,Not reported,feed,"dry grain,animal byproducts,Feeding yeast","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,"SarahTotton,Mikalya_Plishka",3,2012,Namibia,Africa,Single group observational,Feed Manufacturing Plant,Feed manufacturing plant,Not Reported,,,,,,,,,Not reported,feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Mbandaka,Anatum,Infantis,Typhimurium,Braenderup,Schwarzengrund,Saintpaul,Eppendorf,Reading,Chartres,Chester,Sandiego,Onderstepoort,Beaudesert,Fischerkietz,Ball,Sarajane,Brezany,Stanley,Southbank,Djugu,Petahtikve,Vaertan,Djermaia,Parkroyal,Kaapstad,Bahrenfeld,Svedvi,Aflao","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The animal by-products tested were sampled from abattoirs.,,,They looked at milk replacer but didn't say what species it was for.
9143,"SarahTotton,Mikalya_Plishka",3,2015,Nigeria,Africa,Single group observational,Feed Manufacturing Plant,"Feed manufacturing plant,Animal feed at retail,On-farm (including farmed fish sites)",Poultry,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"Commercial feed,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial feed, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhi,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,
9180,SarahTotton,3,2013,Nigeria,Africa,Single group observational,Feed Manufacturing Plant,Feed manufacturing plant,Poultry,,,,,,,,,"Laying hens,Poultry, not further specified",feed,"Not reported,Mash",No results presented,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm not sure about this one. It doesn't report Salmonella. It reports counts on Salmonella/Shigella agar. Reports concentration on  Salmonella-Shigella agars (which could also include cultivation of Shigella spp?),,,
9259,"SarahTotton,Ellen_Vriezen",3,2017,Tanzania,Africa,Analytical observational,Feed Manufacturing Plant,Feed manufacturing plant,Poultry,,,,,,,,,"Broiler chickens,Laying hens",feed,"Commercial feed,Mash","Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Comparison of AMR patterns between sources,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9455,"Ellen_Vriezen,Mikalya_Plishka",3,2013,Nigeria,Africa,Single group observational,Feed Manufacturing Plant,Feed manufacturing plant,Poultry,,,,,,,,,"Laying hens,Poultry, not further specified",feed,Not reported,Concentration,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,"Ellen_Vriezen,Mikalya_Plishka",3,2010,Algeria,Africa,Single group observational,Feed Transportation,Feed transportation (e.g. feed trucks),Poultry,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,Not reported,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"All of the uninoculated feed samples tested negative, but they didn't report a denominator."
12929,"SarahTotton,Ellen_Vriezen",3,2015,Egypt,Africa,Single group observational,Field Used to Grow Animal Feeds,Field used to grow animal feeds,Cattle,,"Cattle, not further specified","Crop in field,Irrigation water","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Egyptian clover and vegetative stage of corn are both cattle feeds, according to this paper.",,,
10661,"Ellen_Vriezen,Mikalya_Plishka",3,2002,Egypt,Africa,Laboratory study (experimental),On-farm,On-farm (including farmed fish sites),Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,poultry waste,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,,,,"Cubana was the serotype artificially inoculated into the feed. For the naturally contaminated samples, authors did not report serotypes found."
10786,"SarahTotton,Ellen_Vriezen",3,2016,Nigeria,Africa,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,I did not extract anything from Table 1 because I don't know if it's relevant to us.
11098,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Egypt,Africa,Analytical observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,environment,,"Concentration,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,farm characteristics",,,,,,,,,,,,,,,,The feed came from a store. The Salmonella that was used to spike it came from farms and laboratories.
11205,"Ellen_Vriezen,Mikalya_Plishka",3,2008,Nigeria,Africa,Clinical / field trial with natural disease exposure,On-farm,On-farm (including farmed fish sites),Rabbits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rabbits raised for meat,feed,poultry litter intended as feed,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,heat treatment by deep stacking,,,,,,,,,,,,,,,
11470,"Ellen_Vriezen,Mikalya_Plishka",3,2019,Egypt,Africa,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Takoradi,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,
11932,"Ellen_Vriezen,Mikalya_Plishka",3,2019,Egypt,Africa,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,environment,,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,"I don't know what useable information there is in this paper. They reported the number of notifications of positive feed over time, but there is no denominator, so we couldn't calculate incidence or prevalence from this."
1211,"SarahTotton,Ellen_Vriezen",3,2017,Algeria,Africa,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"The authors said they tested feed for Salmonella in the Methods but did not mention feed in the Results. However, Jan says (email sent Feb 3rd, 2021): I think that, based on Table 1, it would be okay to assume that the prevalence in feed samples was zero.  the percentages given on the far right hand column correspond to the denominator provided in the description given in methods on samples per type.",,,
1362,"SarahTotton,Mikalya_Plishka",3,2017,Nigeria,Africa,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Kentucky","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,All samples were negative for Salmonella.
14042,"Ellen_Vriezen,Mikalya_Plishka",3,2017,Ethiopia,Africa,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,"commercial feed, not otherwise specified",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,None of the retail feeds were positive for Salmonella.
1432,"SarahTotton,Ellen_Vriezen",3,2016,Nigeria,Africa,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,They looked for Enteritidis in the feed but they did not find it. Not sure they clearly give the number of feed samples taken. None of the samples were positive.,,,Not sure how to interpret the results regarding Salmonella as they are only given in figures.
14917,"Ellen_Vriezen,Mikalya_Plishka",3,2013,Nigeria,Africa,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Development or validation of surveillance methods,Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,Not sure how to interpret the results regarding Salmonella as they are only given in figures.
1647,"Ellen_Vriezen,Mikalya_Plishka",3,2016,Ghana,Africa,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Muenster,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,Not sure how to interpret the results regarding Salmonella as they are only given in figures.
18165,"SarahTotton,Mikalya_Plishka",3,2006,Nigeria,Africa,Analytical observational,On-farm,On-farm (including farmed fish sites),Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Infantis,Typhimurium,Derby","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,,,,
