Refid,country,continent,st_design,setting1,setting,species,species1,species2,,plant_species,plant_species,trans_species,retail_species,farm_species,NR_species
12929,Egypt,Africa,Single group observational,Field used to grow animal feeds,Field Used to Grow Animal Feeds,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,,,Fish  / shellfish,,
9384,Nigeria,Africa,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,,,Not reported,,
9788,Nigeria,Africa,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,,,"Laying hens,Poultry, not further specified",,
4349,Botswana,Africa,Single group observational,Not specified,Not Specified,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,,,"Poultry, not further specified",,
11648,South Korea,Asia,Analytical observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,,,"Cattle, not further specified,Swine,Chickens, not further specified",,
1338,China,Asia,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,,,"Chickens, not further specified",,
2131,Iran,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,,,"Cattle, not further specified,Chickens, not further specified",,
1429,Qatar,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,,,Fish  / shellfish,,
9294,Thailand,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,,,Not reported,,
10234,Israel,Asia,Single group observational,"Field used to grow animal feeds,On-farm (including farmed fish sites)",Multiple,Cattle or Buffalo,"Cattle, Swine, Not reported","Not reported, cattle, swine",,,,,Broiler chickens,,
12495,Poland,Europe,Analytical observational,Field used to grow animal feeds,Field Used to Grow Animal Feeds,Cattle or Buffalo,Cattle,Dairy cattle,,,,,"Goats,Not reported",,
7381,Sweden,Europe,Challenge trial in natural setting,Field used to grow animal feeds,Field Used to Grow Animal Feeds,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,,,"Laying hens,Chickens, not further specified","Laying hens,Chickens, not further specified",
10314,Poland,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Turkeys,Other farmed poultry,Not reported","Poultry, not further specified",
3647,United Kingdom,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,"Ruminants, not further specified,Swine,Poultry, not further specified",,,,
13493,Finland,Europe,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,Broiler chickens,,,,
3943,Great Britain,Europe,Single group observational,On-farm (including farmed fish sites),On-farm,Cattle or Buffalo,Cattle,Dairy cattle,,,Not reported,,,,
4806,Finland,Europe,Molecular studies,"Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,Swine,,,,
18643,United Kingdom,Europe,Single group observational,"Field used to grow animal feeds,On-farm (including farmed fish sites)",Multiple,Cattle or Buffalo,Cattle,"Dairy cattle,Beef cattle",,,Not reported,,,,
2173,Spain,Europe,Laboratory study (experimental),Not specified,Not Specified,Cattle or Buffalo,Cattle,"Cattle, not further specified",,,Swine,,,,
22529,Greece,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Cattle or Buffalo,"Cattle, Sheep, Swine","Cattle, not further specified,Sheep,Swine",,,Not reported,,,,
