Refid,User,Level,year,country,continent,st_design,setting,species,outcome,NR_species,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
56,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Great Britain,Europe,Analytical observational,"Feed manufacturing plant,On-farm (including farmed fish sites)",Poultry,Prevalence,,,,,,,,,Broiler chickens,"feed,equipment,environment",Not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Mbandaka,Infantis,Durham,4,12:d:-","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,equipment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Infantis,"Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,cleaning and disinfection,,,,,,,,,,,,
56,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Great Britain,Europe,Analytical observational,"Feed manufacturing plant,On-farm (including farmed fish sites)",Poultry,Serotype(s) Present,,,,,,,,,Broiler chickens,"feed,equipment,environment",Not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Mbandaka,Infantis,Durham,4,12:d:-","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,equipment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Infantis,"Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,cleaning and disinfection,,,,,,,,,,,,
96,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Ethiopia,Africa,Analytical observational,On-farm (including farmed fish sites),Poultry,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,farm characteristics,other",,,,,,,,,,,,,
96,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Ethiopia,Africa,Analytical observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,farm characteristics,other",,,,,,,,,,,,,
97,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2020,USA,North America,"Laboratory study (experimental, something manipulated)",On-farm (including farmed fish sites),Ruminants (Other),Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruminants, not further specified",feed,poultry litter intended as feed,"Concentration,Survival time",Typhimurium,Evaluation of interventions to reduce Salmonella,,,,,nitro-treatment,,,,,,,,,,,,
97,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2020,USA,North America,"Laboratory study (experimental, something manipulated)",On-farm (including farmed fish sites),Ruminants (Other),Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruminants, not further specified",feed,poultry litter intended as feed,"Concentration,Survival time",Typhimurium,Evaluation of interventions to reduce Salmonella,,,,,nitro-treatment,,,,,,,,,,,,
108,"Ellen_Vriezen,Mikalya_Plishka",3,2020,USA,North America,Single group observational,On-farm (including farmed fish sites),Poultry,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",equipment,,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,1,4,[5],12:i:-","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
108,"Ellen_Vriezen,Mikalya_Plishka",3,2020,USA,North America,Single group observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",equipment,,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,1,4,[5],12:i:-","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
108,"Ellen_Vriezen,Mikalya_Plishka",3,2020,USA,North America,Single group observational,On-farm (including farmed fish sites),Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",equipment,,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,1,4,[5],12:i:-","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
114,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2020,USA,North America,Analytical observational,Feed manufacturing plant,Swine,Prevalence,,,,,,,,,Swine,"feed,equipment,environment",pelleted feed,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,"geographic region,season, climate,plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2020,Viet Nam,Asia,Single group observational,On-farm (including farmed fish sites),Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,pelleted feed,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Weltevreden","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
123,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2020,Viet Nam,Asia,Single group observational,On-farm (including farmed fish sites),Swine,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,pelleted feed,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Weltevreden","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
123,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2020,Viet Nam,Asia,Single group observational,On-farm (including farmed fish sites),Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,pelleted feed,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Weltevreden","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
