Refid,country,st_design,setting,species,outcome,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
1487,Serbia,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Cattle or Buffalo,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4806,Finland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Cattle or Buffalo,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,Spain,Analytical observational,Feed Manufacturing Plant,Cattle or Buffalo,OR/RR/HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Serbia,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Norway,Analytical observational,Feed Manufacturing Plant,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,Spain,Analytical observational,Feed Manufacturing Plant,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4251,Switzerland,Single group observational,Feed Manufacturing Plant,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7948,USA,Single group observational,Feed Manufacturing Plant,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943,United Kingdom,Analytical observational,Feed Manufacturing Plant,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22529,Greece,Analytical observational,Feed Manufacturing Plant,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4234,USA,Single group observational,Feed Manufacturing Plant,Cattle or Buffalo,Prevalence,,,,,,,,Dairy cattle,feed,Not reported,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"pelleted feed,recycled food products,Not specified,Hay,corn silage,Silage,corn,Cottonseed,Straw,Beet pulp,fishmeal,pea flour","Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Typhimurium,Meleagridis,Braenderup,Cerro","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,All feed mill samples were negative for Salmonella. The AMR results for feed were lumped with other environmental samples.
1645,Germany,Single group observational,Feed Manufacturing Plant,Cattle or Buffalo,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Norway,Analytical observational,Feed Manufacturing Plant,Cattle or Buffalo,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,Spain,Analytical observational,Feed Manufacturing Plant,Cattle or Buffalo,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604,Serbia,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Cattle or Buffalo,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4806,Finland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Cattle or Buffalo,Serovar(s) Present,,,,,,,,"Cattle, not further specified",feed,"dry grain,pelleted feed,Rapeseed,Soybean meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Infantis,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"dry grain,pelleted feed,Rapeseed,Soybean meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Infantis,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,
2030,Brazil,Challenge trial in natural setting (not lab),Field Used to Grow Animal Feeds,Cattle or Buffalo,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7381,Sweden,Challenge trial in natural setting (not lab),Field Used to Grow Animal Feeds,Cattle or Buffalo,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12495,Poland,Analytical observational,Field Used to Grow Animal Feeds,Cattle or Buffalo,Concentration,Dairy cattle,Pasture / grass,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",field characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12929,Egypt,Single group observational,Field Used to Grow Animal Feeds,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13916,USA,Analytical observational,Field Used to Grow Animal Feeds,Cattle or Buffalo,Prevalence,Beef cattle,"Pasture / grass,Soil","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources,Risk factors for prevalence or concentration of Salmonella,Comparison of prevalence between sources","geographic region,season, climate or weather",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle,Swine,Poultry, not further specified",feed,"dry grain,Hay,Total mixed ration (TMR),extruded swine feed","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources,Risk factors for prevalence or concentration of Salmonella,Comparison of prevalence between sources",,,,"geographic region,season, climate,feed characteristics",,,,,,,,,,,,,
18643,United Kingdom,Single group observational,Field Used to Grow Animal Feeds,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7381,Sweden,Challenge trial in natural setting (not lab),Field Used to Grow Animal Feeds,Cattle or Buffalo,Serovar(s) Present,"Cattle, not further specified",Animal feces present in the field,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Risk factors for prevalence or concentration of Salmonella","season, climate or weather",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12929,Egypt,Single group observational,Field Used to Grow Animal Feeds,Cattle or Buffalo,Serovar(s) Present,"Cattle, not further specified","Crop in field,Irrigation water","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Egyptian clover and vegetative stage of corn are both cattle feeds, according to this paper."
18643,United Kingdom,Single group observational,Field Used to Grow Animal Feeds,Cattle or Buffalo,Serovar(s) Present,"Dairy cattle,Beef cattle",Crop in field,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","derby,rissen,durham,newport,stanley,Typhimurium DT104","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle","feed,equipment",dry grain,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
7381,Sweden,Challenge trial in natural setting (not lab),Field Used to Grow Animal Feeds,Cattle or Buffalo,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,USA,Single group observational,On-farm,Cattle or Buffalo,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,USA,Single group observational,On-farm,Cattle or Buffalo,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3987,USA,Analytical observational,On-farm,Cattle or Buffalo,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12661,USA,Analytical observational,On-farm,Cattle or Buffalo,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,USA,"Laboratory study (experimental, something manipulated)",On-farm,Cattle or Buffalo,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4083,USA,Challenge trial in natural setting (not lab),On-farm,Cattle or Buffalo,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,milk (fed to calves),"Concentration,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,Pasteurizer,,,,,,,,,,,,
10314,Poland,Analytical observational,On-farm,Cattle or Buffalo,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,grass silage,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,
11648,South Korea,Analytical observational,On-farm,Cattle or Buffalo,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,Colostrum,"Prevalence / proportion positive,Concentration",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella",,,,,,,,,,,,,,,,,
19469,USA,Single group observational,On-farm,Cattle or Buffalo,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef cattle,feed,poultry litter intended as feed,"Prevalence / proportion positive,Concentration",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella",,,,,,,,,,,,,,,,,
4234,USA,Single group observational,On-farm,Cattle or Buffalo,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4806,Finland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm,Cattle or Buffalo,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3426,USA,Single group observational,On-farm,Cattle or Buffalo,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,Total mixed ration (TMR),"Prevalence / proportion positive,Molecular characteristics",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
3445,USA,Analytical observational,On-farm,Cattle or Buffalo,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3987,USA,Analytical observational,On-farm,Cattle or Buffalo,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5461,USA,Analytical observational,On-farm,Cattle or Buffalo,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12661,USA,Analytical observational,On-farm,Cattle or Buffalo,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4235,USA,Single group observational,On-farm,Cattle or Buffalo,OR/RR/HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,environment,,"Prevalence / proportion positive,Odds ratios / risk ratios,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,farm characteristics",,,,,,,,,,,,,
4234,USA,Single group observational,On-farm,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2189,United Kingdom,Analytical observational,On-farm,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10234,Israel,Single group observational,On-farm,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13916,USA,Analytical observational,On-farm,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Venezuela,Single group observational,On-farm,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle",feed,"poultry litter intended as feed,commercial feed, not otherwise specified",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"""dual-purpose"" cattle. They reported AMR, but did not do so separately for feed."
1106,USA,Single group observational,On-farm,Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,calf milk replacer,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,No samples were positive for Salmonella
