Refid,country,st_design,setting,species,design,outcome,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
2008,Norway,Analytical observational,Feed Manufacturing Plant,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,Spain,Analytical observational,Feed Manufacturing Plant,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943,United Kingdom,Analytical observational,Feed Manufacturing Plant,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22529,Greece,Analytical observational,Feed Manufacturing Plant,Cattle or Buffalo,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Serbia,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Cattle or Buffalo,Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604,Serbia,"Laboratory study (experimental, something manipulated)",Feed Manufacturing Plant,Cattle or Buffalo,Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4806,Finland,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed Manufacturing Plant,Cattle or Buffalo,Molecular studies,,,,,,,,,"Cattle, not further specified",feed,"dry grain,pelleted feed,Rapeseed,Soybean meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Infantis,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"dry grain,pelleted feed,Rapeseed,Soybean meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Infantis,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,
1645,Germany,Single group observational,Feed Manufacturing Plant,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4251,Switzerland,Single group observational,Feed Manufacturing Plant,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7948,USA,Single group observational,Feed Manufacturing Plant,Cattle or Buffalo,Single group observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
