Refid,year,country,continent,setting,outcome,NR_outcomes,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
2572,2012,Namibia,Africa,Feed Manufacturing Plant,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9259,2017,Tanzania,Africa,Feed Manufacturing Plant,Antimicrobial Resistance,,,,,,,,,"Broiler chickens,Laying hens",feed,"Commercial feed,Mash","Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Comparison of AMR patterns between sources,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9455,2013,Nigeria,Africa,Feed Manufacturing Plant,Concentration,,,,,,,,,"Laying hens,Poultry, not further specified",feed,Not reported,Concentration,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,2015,South Africa,Africa,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,2012,Namibia,Africa,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9143,2015,Nigeria,Africa,Feed Manufacturing Plant,Prevalence,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"Commercial feed,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial feed, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhi,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
9259,2017,Tanzania,Africa,Feed Manufacturing Plant,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,2015,South Africa,Africa,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,feed,"dry grain,animal byproducts,Feeding yeast","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,2012,Namibia,Africa,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Mbandaka,Anatum,Infantis,Typhimurium,Braenderup,Schwarzengrund,Saintpaul,Eppendorf,Reading,Chartres,Chester,Sandiego,Onderstepoort,Beaudesert,Fischerkietz,Ball,Sarajane,Brezany,Stanley,Southbank,Djugu,Petahtikve,Vaertan,Djermaia,Parkroyal,Kaapstad,Bahrenfeld,Svedvi,Aflao","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The animal by-products tested were sampled from abattoirs.
3026,2010,Algeria,Africa,Feed Transportation,Prevalence,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,Not reported,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12929,2015,Egypt,Africa,Field Used to Grow Animal Feeds,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12929,2015,Egypt,Africa,Field Used to Grow Animal Feeds,Serovar(s) Present,,"Cattle, not further specified","Crop in field,Irrigation water","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Egyptian clover and vegetative stage of corn are both cattle feeds, according to this paper."
9261,2014,Nigeria,Africa,On-farm,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laying hens,Chickens, not further specified",feed,"commercial, not otherwise specified,Mash",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,"Laying hens,Chickens, not further specified",feed,Mash,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,feed characteristics",,,,,,,,,,,,,None of the retail feeds were positive for Salmonella.
96,2020,Ethiopia,Africa,On-farm,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,farm characteristics,other",,,,,,,,,,,,,
11098,2020,Egypt,Africa,On-farm,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,environment,,"Concentration,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,farm characteristics",,,,,,,,,,,,,
18237,1998,Egypt,Africa,On-farm,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4395,2002,Kenya,Africa,On-farm,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11470,2019,Egypt,Africa,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,2017,Algeria,Africa,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"The authors said they tested feed for Salmonella in the Methods but did not mention feed in the Results. However, Jan says (email sent Feb 3rd, 2021): I think that, based on Table 1, it would be okay to assume that the prevalence in feed samples was zero.  the percentages given on the far right hand column correspond to the denominator provided in the description given in methods on samples per type."
1362,2017,Nigeria,Africa,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
