Refid,country,continent,st_design,farm?,setting,species,serotype,farm_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
9384,Nigeria,Africa,Clinical / field trial with natural disease exposure,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"pelleted feed,premix,cassava,corn bran,molasses,Sulphur,Salt","Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,pelleting,,,,,,,,,,,,
9788,Nigeria,Africa,Clinical / field trial with natural disease exposure,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,poultry litter intended as feed,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,heat treatment via deep stacking,,,,,,,,,,,,
9261,Nigeria,Africa,Analytical observational,Yes,"Animal feed at retail,On-farm (including farmed fish sites)",Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,"Laying hens,Chickens, not further specified",feed,"commercial, not otherwise specified,Mash",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,"Laying hens,Chickens, not further specified",feed,Mash,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,feed characteristics",,,,,,,,,,,,,None of the retail feeds were positive for Salmonella.
843,Algeria,Africa,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,All feed samples were negative for Salmonella.
1211,Algeria,Africa,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"The authors said they tested feed for Salmonella in the Methods but did not mention feed in the Results. However, Jan says (email sent Feb 3rd, 2021): I think that, based on Table 1, it would be okay to assume that the prevalence in feed samples was zero.  the percentages given on the far right hand column correspond to the denominator provided in the description given in methods on samples per type."
11098,Egypt,Africa,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,environment,,"Concentration,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,farm characteristics",,,,,,,,,,,,,
11932,Egypt,Africa,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,environment,,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
18237,Egypt,Africa,"Laboratory study (experimental, something manipulated)",Yes,On-farm (including farmed fish sites),Poultry,S. Typhimurium,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of conditions associated with survival times",,"temperature,feed type",,,,,,,,,,,,,,,
96,Ethiopia,Africa,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,farm characteristics,other",,,,,,,,,,,,,
14042,Ethiopia,Africa,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,"commercial feed, not otherwise specified",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
