Refid,User,Level,year,country,continent,st_design,NR?,setting,species,serotype,NR_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
4349,"SarahTotton,Mikalya_Plishka",3,2002,Botswana,Africa,Single group observational,Yes,Not specified,Cattle or Buffalo,S. spp,"Not specified / any or all combined / Salmonella spp.,Anatum,Reading,Kedougou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Anatum,Reading,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,The feed samples were collected from an abattoir. I figured out the serotypes by crossreferencing Table 3 and Table 5.
6485,"SarahTotton,Ellen_Vriezen",3,2015,Egypt,Africa,Laboratory study (experimental),Yes,Not specified,Fish,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,Chicken manure,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,fermentation,
9777,"Ellen_Vriezen,Mikalya_Plishka",3,2011,Nigeria,Africa,Analytical observational,Yes,Not specified,Poultry,S. Enteritidis,"Enteritidis,pullorum,Typhi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"Commercial feed,Mash","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Enteritidis,pullorum,Typhi","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,feed characteristics,,
9429,"Ellen_Vriezen,Mikalya_Plishka",3,2016,Nigeria,Africa,Single group observational,Yes,Not specified,Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,
6478,"SarahTotton,Mikalya_Plishka",3,2015,Tunisia,Africa,Laboratory study (experimental),Yes,Not specified,Ruminants (Other),S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruminants, not further specified",feed,Brewers,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,All of the samples were negative for Salmonella.
163,"SarahTotton,Ellen_Vriezen",3,2020,Kenya,Africa,Laboratory study (experimental),Yes,Not specified,Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,insects,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,Evaluation of interventions to reduce Salmonella,,,,,processing method,"I answered Q4 based on the fact that it sounds like the insects are not directly fed to animals but instead are sent to feed factories ""there are opportunities for farmers to produce edible insects, which can be delivered to food and feed factories as a raw material for manufacturing value-added products."""
9415,"Ellen_Vriezen,Mikalya_Plishka",3,2012,Iran,Asia,Laboratory study (experimental),Yes,Not specified,Fish,S. Agona,Agona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,fish oil,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Agona,"Estimating concentration of Salmonella,Estimating survival time of Salmonella",,,,,,
5062,"SarahTotton,Mikalya_Plishka",3,1997,Japan,Asia,Laboratory study (experimental),Yes,Not specified,Poultry,S. Enteritidis,Enteritidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicken, not further specified",feed,not reported,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,other,,I would say that characteristics of the housing (i.e. airflow and positioning of the positive bird) were risk factors they examined for contamination of feed.
12185,"Ellen_Vriezen,Mikalya_Plishka",3,2017,Bangladesh,Asia,Molecular studies,Yes,Not specified,Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,geographic region,,
1757,"Ellen_Vriezen,Mikalya_Plishka",3,2015,Pakistan,Asia,Single group observational,Yes,Not specified,Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Gallinarum,pullorum,paratyphoids",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,"animal byproducts,not reported","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Gallinarum,pullorum,paratyphoids","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,
1624,"Ellen_Vriezen,Mikalya_Plishka",3,2016,China,Asia,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"Fish meal,Bone meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Development of validation of methods for detection of Salmonella,Naturally infected,,Culture-based,,,
17501,"SarahTotton,Mikalya_Plishka",3,2010,India,Asia,Single group observational,Yes,Not specified,Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,spent hen meal,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,All samples were negative for Salmonella.
18210,"SarahTotton,Ellen_Vriezen",3,2011,Saudi Arabia,Asia,Analytical observational,Yes,Not specified,Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"Commercial feed,Spirulina",Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Comparison of prevalence between sources",,,,,,All samples were negative for Salmonella.
3271,"Ellen_Vriezen,Mikalya_Plishka",3,2008,South Korea,Asia,Laboratory study (experimental),Yes,Not specified,Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,other,,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,salmonella in protein from treated sludge not detected - 'data not shown'
9442,"Ellen_Vriezen,Mikalya_Plishka",3,2018,South Korea,Asia,Laboratory study (experimental),Yes,Not specified,Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,insects,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,
7921,"SarahTotton,Ellen_Vriezen",3,2017,South Korea,Asia,Single group observational,Yes,Not specified,Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,insects,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,It's unclear if the larva themselves were tested for Salmonella or just the feed given to the larva.
2173,"SarahTotton,Ellen_Vriezen",3,2013,Spain,Europe,Laboratory study (experimental),Yes,Not specified,Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"pelleted feed,Commercial feed",Survival time,Not specified / any or all combined / Salmonella spp.,"Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,Organic Acids and Temperature,
4298,"SarahTotton,Mikalya_Plishka",3,2003,Norway,Europe,Molecular studies,Yes,"Feed manufacturing plant,Not specified",Fish,S. Senftenberg,"Senftenberg,Montevideo,Schwarzewngrund,Anatum,Havana,Berta,cerro,Lille,Lexington,Livingstone,ohio,Stanley,Bere,6,7:b:-",,,,,,,Fish / shellfish,"feed,environment","Not reported,corn products,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Tennessee,Montevideo,Anatum,Agona,Worthington,Enteritidis,Livingstone,Kentucky","Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,"not reported,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Montevideo,Schwarzewngrund,Anatum,Havana,Berta,cerro,Lille,Lexington,Livingstone,ohio,Stanley,Bere,6,7:b:-","Determining serotypes present,Molecular characterization (descriptive)",,,,,,"In the fish feed factories, environmental and feed samples were taken. In addition ""domestic and imported fish feed ingredients"" (source not reported) were included in this study."
