Refid,country,continent,st_design,plant?,setting,species,serotype,plant_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
9180,Nigeria,Africa,Single group observational,Yes,Feed manufacturing plant,Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,"Laying hens,Poultry, not further specified",feed,"Not reported,Mash",No results presented,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm not sure about this one. It doesn't report Salmonella. It reports counts on Salmonella/Shigella agar. Reports concentration on  Salmonella-Shigella agars (which could also include cultivation of Shigella spp?)
9455,Nigeria,Africa,Single group observational,Yes,Feed manufacturing plant,Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,"Laying hens,Poultry, not further specified",feed,Not reported,Concentration,Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9259,Tanzania,Africa,Analytical observational,Yes,Feed manufacturing plant,Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,"Broiler chickens,Laying hens",feed,"Commercial feed,Mash","Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Comparison of AMR patterns between sources,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9143,Nigeria,Africa,Single group observational,Yes,"Feed manufacturing plant,Animal feed at retail,On-farm (including farmed fish sites)",Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"Commercial feed,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,,,,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance",,,,"Broiler chickens,Laying hens,Poultry, not further specified",feed,"commercial feed, not otherwise specified,Mash","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhi,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
2572,Namibia,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Mbandaka,"Mbandaka,Anatum,Infantis,Typhimurium,Braenderup,Schwarzengrund,Saintpaul,Eppendorf,Reading,Chartres,Chester,Sandiego,Onderstepoort,Beaudesert,Fischerkietz,Ball,Sarajane,Brezany,Stanley,Southbank,Djugu,Petahtikve,Vaertan,Djermaia,Parkroyal,Kaapstad,Bahrenfeld,Svedvi,Aflao",,,,,,,Not reported,feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Mbandaka,Anatum,Infantis,Typhimurium,Braenderup,Schwarzengrund,Saintpaul,Eppendorf,Reading,Chartres,Chester,Sandiego,Onderstepoort,Beaudesert,Fischerkietz,Ball,Sarajane,Brezany,Stanley,Southbank,Djugu,Petahtikve,Vaertan,Djermaia,Parkroyal,Kaapstad,Bahrenfeld,Svedvi,Aflao","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The animal by-products tested were sampled from abattoirs.
2572,Namibia,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Anatum,"Mbandaka,Anatum,Infantis,Typhimurium,Braenderup,Schwarzengrund,Saintpaul,Eppendorf,Reading,Chartres,Chester,Sandiego,Onderstepoort,Beaudesert,Fischerkietz,Ball,Sarajane,Brezany,Stanley,Southbank,Djugu,Petahtikve,Vaertan,Djermaia,Parkroyal,Kaapstad,Bahrenfeld,Svedvi,Aflao",,,,,,,Not reported,feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Mbandaka,Anatum,Infantis,Typhimurium,Braenderup,Schwarzengrund,Saintpaul,Eppendorf,Reading,Chartres,Chester,Sandiego,Onderstepoort,Beaudesert,Fischerkietz,Ball,Sarajane,Brezany,Stanley,Southbank,Djugu,Petahtikve,Vaertan,Djermaia,Parkroyal,Kaapstad,Bahrenfeld,Svedvi,Aflao","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The animal by-products tested were sampled from abattoirs.
2572,Namibia,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Infantis,"Mbandaka,Anatum,Infantis,Typhimurium,Braenderup,Schwarzengrund,Saintpaul,Eppendorf,Reading,Chartres,Chester,Sandiego,Onderstepoort,Beaudesert,Fischerkietz,Ball,Sarajane,Brezany,Stanley,Southbank,Djugu,Petahtikve,Vaertan,Djermaia,Parkroyal,Kaapstad,Bahrenfeld,Svedvi,Aflao",,,,,,,Not reported,feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Mbandaka,Anatum,Infantis,Typhimurium,Braenderup,Schwarzengrund,Saintpaul,Eppendorf,Reading,Chartres,Chester,Sandiego,Onderstepoort,Beaudesert,Fischerkietz,Ball,Sarajane,Brezany,Stanley,Southbank,Djugu,Petahtikve,Vaertan,Djermaia,Parkroyal,Kaapstad,Bahrenfeld,Svedvi,Aflao","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The animal by-products tested were sampled from abattoirs.
2572,Namibia,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Typhimurium,"Mbandaka,Anatum,Infantis,Typhimurium,Braenderup,Schwarzengrund,Saintpaul,Eppendorf,Reading,Chartres,Chester,Sandiego,Onderstepoort,Beaudesert,Fischerkietz,Ball,Sarajane,Brezany,Stanley,Southbank,Djugu,Petahtikve,Vaertan,Djermaia,Parkroyal,Kaapstad,Bahrenfeld,Svedvi,Aflao",,,,,,,Not reported,feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Mbandaka,Anatum,Infantis,Typhimurium,Braenderup,Schwarzengrund,Saintpaul,Eppendorf,Reading,Chartres,Chester,Sandiego,Onderstepoort,Beaudesert,Fischerkietz,Ball,Sarajane,Brezany,Stanley,Southbank,Djugu,Petahtikve,Vaertan,Djermaia,Parkroyal,Kaapstad,Bahrenfeld,Svedvi,Aflao","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The animal by-products tested were sampled from abattoirs.
2572,Namibia,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Schwarzengrund,"Mbandaka,Anatum,Infantis,Typhimurium,Braenderup,Schwarzengrund,Saintpaul,Eppendorf,Reading,Chartres,Chester,Sandiego,Onderstepoort,Beaudesert,Fischerkietz,Ball,Sarajane,Brezany,Stanley,Southbank,Djugu,Petahtikve,Vaertan,Djermaia,Parkroyal,Kaapstad,Bahrenfeld,Svedvi,Aflao",,,,,,,Not reported,feed,animal byproducts,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Mbandaka,Anatum,Infantis,Typhimurium,Braenderup,Schwarzengrund,Saintpaul,Eppendorf,Reading,Chartres,Chester,Sandiego,Onderstepoort,Beaudesert,Fischerkietz,Ball,Sarajane,Brezany,Stanley,Southbank,Djugu,Petahtikve,Vaertan,Djermaia,Parkroyal,Kaapstad,Bahrenfeld,Svedvi,Aflao","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The animal by-products tested were sampled from abattoirs.
1693,South Africa,Africa,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. spp,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar",,,,,,,Not reported,feed,"dry grain,animal byproducts,Feeding yeast","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Schwarzewngrund,Anatum,Infantis,Orion,Typhimurium,Enteritidis,Havana,Ohio,Muenchen,Idikan,Salford,Brancaster,Hadar","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
