Refid,country,continent,st_design,transport?,setting,species,serotype,trans_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
3026,Algeria,Africa,Single group observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,Not reported,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,Japan,Asia,Single group observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Senftenberg",,,,,,,,,,,,,,,,,,Laying hens,feed,Not reported,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,Japan,Asia,Single group observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Senftenberg,"Not specified / any or all combined / Salmonella spp.,Senftenberg",,,,,,,,,,,,,,,,,,Laying hens,feed,Not reported,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4682,Japan,Asia,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Senftenberg,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton",,,,,,,,,,,,,,,,,,Laying hens,feed,"Commercial, not otherwise specified","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The feed was all sampled off the feed trucks. However, for S. Enteritidis, they determined which feed mill each positive sample came from."
4682,Japan,Asia,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Mbandaka,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton",,,,,,,,,,,,,,,,,,Laying hens,feed,"Commercial, not otherwise specified","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The feed was all sampled off the feed trucks. However, for S. Enteritidis, they determined which feed mill each positive sample came from."
4682,Japan,Asia,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Tennessee,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton",,,,,,,,,,,,,,,,,,Laying hens,feed,"Commercial, not otherwise specified","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The feed was all sampled off the feed trucks. However, for S. Enteritidis, they determined which feed mill each positive sample came from."
4682,Japan,Asia,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Infantis,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton",,,,,,,,,,,,,,,,,,Laying hens,feed,"Commercial, not otherwise specified","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The feed was all sampled off the feed trucks. However, for S. Enteritidis, they determined which feed mill each positive sample came from."
4682,Japan,Asia,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Ohio,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton",,,,,,,,,,,,,,,,,,Laying hens,feed,"Commercial, not otherwise specified","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The feed was all sampled off the feed trucks. However, for S. Enteritidis, they determined which feed mill each positive sample came from."
4682,Japan,Asia,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Livingstone,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton",,,,,,,,,,,,,,,,,,Laying hens,feed,"Commercial, not otherwise specified","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The feed was all sampled off the feed trucks. However, for S. Enteritidis, they determined which feed mill each positive sample came from."
4682,Japan,Asia,Analytical observational,Yes,Feed transportation (e.g. feed trucks),Poultry,S. Orion,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton",,,,,,,,,,,,,,,,,,Laying hens,feed,"Commercial, not otherwise specified","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Infantis,Agona,II,Ohio,Rissen,Livingstone,Brandenburg,Muenster,Derby,UT,Bareilly,Hindmarsh,Thompson,Suberu,Orion,Edinburgh,Emek,Kisii,Regent,Enteritidis,Irion,Liverpool,Tilburg,Heidelberg,Corvallis,Grostrup,London,Krefeld,Hadar,Kambole,Grampian,Westhampton","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The feed was all sampled off the feed trucks. However, for S. Enteritidis, they determined which feed mill each positive sample came from."
